Model,k,mAP_overall
EfficientNetB0,1,0.6394403048745805
EfficientNetB0,5,0.691489075959527
EfficientNetB0,10,0.659205905663093
EfficientNetB0,20,0.6120175871055248

Model,k,Class,mAP
EfficientNetB0,5,banh_beo,0.7558327174180833
EfficientNetB0,5,banh_bot_loc,0.4946018334437818
EfficientNetB0,5,banh_can,0.7765838675213674
EfficientNetB0,5,banh_canh,0.414272172766238
EfficientNetB0,5,banh_chung,0.7462649089767734
EfficientNetB0,5,banh_cuon,0.6310881370091896
EfficientNetB0,5,banh_duc,0.43259539236861044
EfficientNetB0,5,banh_gio,0.7683345734126983
EfficientNetB0,5,banh_khot,0.7819254185692542
EfficientNetB0,5,banh_mi,0.9121925133689841
EfficientNetB0,5,banh_pia,0.8435528673835127
EfficientNetB0,5,banh_tet,0.7634461805555556
EfficientNetB0,5,banh_trang_nuong,0.8128547162270184
EfficientNetB0,5,banh_xeo,0.838088712951685
EfficientNetB0,5,bun_bo_hue,0.6756159871355949
EfficientNetB0,5,bun_dau_mam_tom,0.9402018229166668
EfficientNetB0,5,bun_mam,0.5882727459437256
EfficientNetB0,5,bun_rieu,0.5986059351276742
EfficientNetB0,5,bun_thit_nuong,0.6297094508301405
EfficientNetB0,5,canh_chua,0.5679785287887542
EfficientNetB0,5,cao_lau,0.6357928240740741
EfficientNetB0,5,ca_kho_to,0.8489252995066948
EfficientNetB0,5,chao_long,0.6074622725255215
EfficientNetB0,5,com_tam,0.7767197774405665
EfficientNetB0,5,goi_cuon,0.7736738201412114
EfficientNetB0,5,hu_tieu,0.5160267280361758
EfficientNetB0,5,mi_quang,0.6777642934196333
EfficientNetB0,5,nem_chua,0.5946753151568456
EfficientNetB0,5,pho,0.5646153467297084
EfficientNetB0,5,xoi_xeo,0.7869914996964177
EfficientNetB0,25,banh_beo,0.6840888190725523
EfficientNetB0,25,banh_bot_loc,0.3878833962874291
EfficientNetB0,25,banh_can,0.6727442695910154
EfficientNetB0,25,banh_canh,0.32918744761183416
EfficientNetB0,25,banh_chung,0.6285894402224707
EfficientNetB0,25,banh_cuon,0.5210367411271652
EfficientNetB0,25,banh_duc,0.35540179551061213
EfficientNetB0,25,banh_gio,0.6783716567062096
EfficientNetB0,25,banh_khot,0.6722820858214207
EfficientNetB0,25,banh_mi,0.8792815588962447
EfficientNetB0,25,banh_pia,0.7664571567733155
EfficientNetB0,25,banh_tet,0.6790040330030936
EfficientNetB0,25,banh_trang_nuong,0.7395499974596546
EfficientNetB0,25,banh_xeo,0.7656837728853237
EfficientNetB0,25,bun_bo_hue,0.5661508745988532
EfficientNetB0,25,bun_dau_mam_tom,0.895997185864265
EfficientNetB0,25,bun_mam,0.4694879049458523
EfficientNetB0,25,bun_rieu,0.48078549372745255
EfficientNetB0,25,bun_thit_nuong,0.5072192630407627
EfficientNetB0,25,canh_chua,0.44404496414039174
EfficientNetB0,25,cao_lau,0.5252380228783389
EfficientNetB0,25,ca_kho_to,0.7768876559954662
EfficientNetB0,25,chao_long,0.49670327617168536
EfficientNetB0,25,com_tam,0.6886700912336997
EfficientNetB0,25,goi_cuon,0.6887850033901886
EfficientNetB0,25,hu_tieu,0.3851898641267079
EfficientNetB0,25,mi_quang,0.5483835993319812
EfficientNetB0,25,nem_chua,0.473717370003382
EfficientNetB0,25,pho,0.44787098537073416
EfficientNetB0,25,xoi_xeo,0.7111406366714265
